Family,Section_ID,Area_Err_%,Ix_Err_%,Iy_Err_%,XC_Err_mm
IPN,IPN80,0.0391,0.038,0.0106,0
IPN,IPN100,0.232,0.1603,0.4097,0
IPN,IPN120,0.1488,0.0206,0.0339,0
IPN,IPN140,0.2201,0.0684,0.1219,0
IPN,IPN160,0.0006,0.0043,0.046,0
IPN,IPN180,0.1147,0.4095,0.0026,0
IPN,IPN200,0.1014,0.1048,0.3673,0
IPN,IPN220,0.006,0.1567,0.0143,0
IPN,IPN240,0.0433,0.0178,0.0081,0
IPN,IPN260,0.0469,0.0807,0.1314,0
IPN,IPN280,0.025,0.0628,0.0016,0
IPN,IPN300,0.0056,0.0489,0.1116,0
IPN,IPN320,0.0089,0.0483,0.0464,0
IPN,IPN340,0.0228,0.1931,0.0215,0
IPN,IPN360,0.0166,0.127,0.0489,0
IPN,IPN380,0.0204,0.0911,0.0559,0
IPN,IPN400,0.2165,0.2524,1.3994,0
IPN,IPN450,0.0403,0.1995,1.8936,0
IPN,IPN500,0.198,0.509,3.0453,0
IPN,IPN550,0.0215,0.2531,0.252,0
IPN,IPN600,0.0654,0.1551,0.194,0
IPE,IPE80,0.0489,0.0516,0.0108,0
IPE,IPE100,0.2318,0.0138,0.1186,0
IPE,IPE120,0.0824,0.0721,0.1142,0
IPE,IPE140,0.1627,0.0459,0.0401,0
IPE,IPE160,0.0378,0.0397,0.022,0
IPE,IPE180,0.2025,0.2253,0.1476,0
IPE,IPE200,0.049,0.1709,0.2603,0
IPE,IPE220,0.0825,0.0729,0.0549,0
IPE,IPE240,0.0492,0.0504,0.2251,0
IPE,IPE270,0.1047,0.0037,0.0305,0
IPE,IPE300,0.028,0.0401,0.0362,0
IPE,IPE330,0.0169,0.2725,0.0188,0
IPE,IPE360,0.0462,0.2039,0.3325,0
IPE,IPE400,0.0361,0.131,0.164,0
IPE,IPE450,0.027,0.1347,0.2457,0
IPE,IPE500,0.4073,0.0033,0.0794,0
IPE,IPE550,0.3162,0.0318,0.0897,0
IPE,IPE600,0.005,0.0117,0.0778,0
IPEA,IPEA80,0.0668,0.0288,0.0398,0
IPEA,IPEA100,0.01,0.122,0.169,0
IPEA,IPEA120,0.0043,0.1475,0.0481,0
IPEA,IPEA140,0.0215,0.0257,0.0655,0
IPEA,IPEA160,0.0025,0.0477,0.0502,0
IPEA,IPEA180,0.0082,0.2645,0.017,0
IPEA,IPEA200,0.013,0.1016,0.1451,0
IPEA,IPEA220,0.0069,0.1428,0.2439,0
IPEA,IPEA240,0.0157,0.0241,0.0573,0
IPEA,IPEA270,0.0062,0.0461,0.0071,0
IPEA,IPEA300,0.0021,0.0563,0.005,0
IPEA,IPEA330,0.0011,0.3115,0.0236,0
IPEA,IPEA360,0.0144,0.1144,0.0289,0
IPEA,IPEA400,0.0526,0.0271,0.0515,0
IPEA,IPEA450,0.0027,0.13,0.1609,0
IPEA,IPEA500,0.0035,0.085,0.0394,0
IPEA,IPEA550,0.0033,0.0264,0.0928,0
IPEA,IPEA600,0.0206,0.0297,0.1186,0
IPEAA,IPEAA80,0.0612,0.0008,0.0044,0
